Innings,Venue,Start_Date,End_Date,Team1,Team2,Team1_runs,Team1_wickets,Team2_runs,Team2_wickets,Target,Team1_played_Overs,Team2_played_Overs,Team1_Max_Overs,Team2_Max_Overs,Match_Result
26th Match (D/N),Brabourne,16-April-2022,16-April-2022,LSG,MI,199,4,181,9,200,20,20,20,20,LSG won by 18 runs
27th Match (N),Wankhede,16-April-2022,16-April-2022,RCB,DC,189,5,173,7,190,20,20,20,20,RCB won by 16 runs
28th Match (D/N),DY Patil,17-April-2022,17-April-2022,PBKS,SRH,151,10,152,3,152,20,18.5,20,20,SRH won by 7 wickets (with 7 balls remaining)
29th Match (N),Pune,17-April-2022,17-April-2022,CSK,GT,169,5,170,7,170,20,19.5,20,20,GT won by 3 wickets (with 1 ball remaining)
30th Match (N),Brabourne,18-April-2022,18-April-2022,RR,KKR,217,5,210,10,218,20,19.4,20,20,RR won by 7 runs
31st Match (N),DY Patil,19-April-2022,19-April-2022,RCB,LSG,181,6,163,8,182,20,20,20,20,RCB won by 18 runs
32nd Match (N),Brabourne,20-April-2022,20-April-2022,PBKS,DC,115,10,119,1,116,20,10.3,20,20,DC won by 9 wickets (with 57 balls remaining)
33rd Match (N),DY Patil,21-April-2022,21-April-2022,MI,CSK,155,7,156,7,156,20,20,20,20,CSK won by 3 wickets (with 0 balls remaining)
34th Match (N),Wankhede,22-April-2022,22-April-2022,RR,DC,222,2,207,8,223,20,20,20,20,RR won by 15 runs
35th Match (D/N),DY Patil,23-April-2022,23-April-2022,GT,KKR,156,9,148,8,157,20,20,20,20,GT won by 8 runs
36th Match (N),Brabourne,23-April-2022,23-April-2022,RCB,SRH,68,10,72,1,69,16.1,8,20,20,SRH won by 9 wickets (with 72 balls remaining)
37th Match (N),Wankhede,24-April-2022,24-April-2022,LSG,MI,168,6,132,8,169,20,20,20,20,LSG won by 36 runs
38th Match (N),Wankhede,25-April-2022,25-April-2022,PBKS,CSK,187,4,176,6,188,20,20,20,20,PBKS won by 11 runs
39th Match (N),Pune,26-April-2022,26-April-2022,RR,RCB,144,8,115,10,145,20,19.3,20,20,RR won by 29 runs
40th Match (N),Wankhede,27-April-2022,27-April-2022,SRH,GT,195,6,199,5,196,20,20,20,20,GT won by 5 wickets (with 0 balls remaining)
41st Match (N),Wankhede,28-April-2022,28-April-2022,KKR,DC,146,9,150,6,147,20,19,20,20,DC won by 4 wickets (with 6 balls remaining)
42nd Match (N),Pune,29-April-2022,29-April-2022,LSG,PBKS,153,8,133,8,154,20,20,20,20,LSG won by 20 runs
43rd Match (D/N),Brabourne,30-April-2022,30-April-2022,RCB,GT,170,6,174,4,171,20,19.3,20,20,GT won by 6 wickets (with 3 balls remaining)
44th Match (N),DY Patil,30-April-2022,30-April-2022,RR,MI,158,6,161,5,159,20,19.2,20,20,MI won by 5 wickets (with 4 balls remaining)
45th Match (D/N),Wankhede,01-May-2022,01-May-2022,LSG,DC,195,3,189,7,196,20,20,20,20,LSG won by 6 runs
46th Match (N),Pune,01-May-2022,01-May-2022,CSK,SRH,202,2,189,6,203,20,20,20,20,CSK won by 13 runs
47th Match (N),Wankhede,02-May-2022,02-May-2022,RR,KKR,152,5,158,3,153,20,19.1,20,20,KKR won by 7 wickets (with 5 balls remaining)
48th Match (N),DY Patil,03-May-2022,03-May-2022,GT,PBKS,143,8,145,2,144,20,16,20,20,PBKS won by 8 wickets (with 24 balls remaining)
49th Match (N),Pune,04-May-2022,04-May-2022,RCB,CSK,173,8,160,8,174,20,20,20,20,RCB won by 13 runs
50th Match (N),Brabourne,05-May-2022,05-May-2022,DC,SRH,207,3,186,8,208,20,20,20,20,DC won by 21 runs
51st Match (N),Brabourne,06-May-2022,06-May-2022,MI,GT,177,6,172,5,178,20,20,20,20,MI won by 5 runs
52nd Match (D/N),Wankhede,07-May-2022,07-May-2022,PBKS,RR,189,5,190,4,190,20,19.4,20,20,RR won by 6 wickets (with 2 balls remaining)
53rd Match (N),Pune,07-May-2022,07-May-2022,LSG,KKR,176,7,101,10,177,20,14.3,20,20,LSG won by 75 runs
54th Match (D/N),Wankhede,08-May-2022,08-May-2022,RCB,SRH,192,3,125,10,193,20,19.2,20,20,RCB won by 67 runs
55th Match (N),DY Patil,08-May-2022,08-May-2022,CSK,DC,208,6,117,10,209,20,17.4,20,20,CSK won by 91 runs
56th Match (N),DY Patil,09-May-2022,09-May-2022,KKR,MI,165,9,113,10,166,20,17.3,20,20,KKR won by 52 runs
57th Match (N),Pune,10-May-2022,10-May-2022,GT,LSG,144,4,82,10,145,20,13.5,20,20,GT won by 62 runs
58th Match (N),DY Patil,11-May-2022,11-May-2022,RR,DC,160,6,161,2,161,20,18.1,20,20,DC won by 8 wickets (with 11 balls remaining)
59th Match (N),Wankhede,12-May-2022,12-May-2022,CSK,MI,97,10,103,5,98,16,14.5,20,20,MI won by 5 wickets (with 31 balls remaining)
60th Match (N),Brabourne,13-May-2022,13-May-2022,PBKS,RCB,209,9,155,9,210,20,20,20,20,PBKS won by 54 runs
61st Match (N),Pune,14-May-2022,14-May-2022,KKR,SRH,177,6,123,8,178,20,20,20,20,KKR won by 54 runs
62nd Match (D/N),Wankhede,15-May-2022,15-May-2022,CSK,GT,133,5,137,3,134,20,19.1,20,20,GT won by 7 wickets (with 5 balls remaining)
63rd Match (N),Brabourne,15-May-2022,15-May-2022,RR,LSG,178,6,154,8,179,20,20,20,20,RR won by 24 runs
64th Match (N),DY Patil,16-May-2022,16-May-2022,DC,PBKS,159,7,142,9,160,20,20,20,20,DC won by 17 runs
65th Match (N),Wankhede,17-May-2022,17-May-2022,SRH,MI,193,6,190,7,194,20,20,20,20,SRH won by 3 runs
66th Match (N),DY Patil,18-May-2022,18-May-2022,LSG,KKR,210,0,208,8,211,20,20,20,20,LSG won by 2 runs
67th Match (N),Wankhede,19-May-2022,19-May-2022,GT,RCB,168,5,170,2,169,20,18.4,20,20,RCB won by 8 wickets (with 8 balls remaining)
68th Match (N),Brabourne,20-May-2022,20-May-2022,CSK,RR,150,6,151,5,151,20,19.4,20,20,RR won by 5 wickets (with 2 balls remaining)
69th Match (N),Wankhede,21-May-2022,21-May-2022,DC,MI,159,7,160,5,160,20,19.1,20,20,MI won by 5 wickets (with 5 balls remaining)
70th Match (N),Wankhede,22-May-2022,22-May-2022,SRH,PBKS,157,8,160,5,158,20,15.1,20,20,PBKS won by 5 wickets (with 29 balls remaining)
Qualifier 1 (N),Eden Gardens,24-May-2022,24-May-2022,RR,GT,188,6,191,3,189,20,19.3,20,20,GT won by 7 wickets (with 3 balls remaining)
Eliminator (N),Eden Gardens,25-May-2022,25-May-2022,RCB,LSG,207,4,193,6,208,20,20,20,20,RCB won by 14 runs
Qualifier 2 (N),Ahmedabad,27-May-2022,27-May-2022,RCB,RR,157,8,161,3,158,20,18.1,20,20,RR won by 7 wickets (with 11 balls remaining)
Final (N),Ahmedabad,29-May-2022,29-May-2022,RR,GT,130,9,133,3,131,20,18.1,20,20,GT won by 7 wickets (with 11 balls remaining)
1st Match (N),Ahmedabad,31-March-2023,31-March-2023,CSK,GT,178,7,182,5,179,20,19.2,20,20,GT won by 5 wickets (with 4 balls remaining)
2nd Match (D/N),Mohali,01-April-2023,01-April-2023,PBKS,KKR,191,5,146,7,192,20,16,20,16,PBKS won by 7 runs (DLS method)
3rd Match (N),Lucknow,01-April-2023,01-April-2023,LSG,DC,193,6,143,9,194,20,20,20,20,LSG won by 50 runs
4th Match (D/N),Hyderabad,02-April-2023,02-April-2023,RR,SRH,203,5,131,8,204,20,20,20,20,RR won by 72 runs
5th Match (N),Bengaluru,02-April-2023,02-April-2023,MI,RCB,171,7,172,2,172,20,16.2,20,20,RCB won by 8 wickets (with 22 balls remaining)
6th Match (N),Chennai,03-April-2023,03-April-2023,CSK,LSG,217,7,205,7,218,20,20,20,20,CSK won by 12 runs
7th Match (N),Delhi,04-April-2023,04-April-2023,DC,GT,162,8,163,4,163,20,18.1,20,20,GT won by 6 wickets (with 11 balls remaining)
8th Match (N),Guwahati,05-April-2023,05-April-2023,PBKS,RR,197,4,192,7,198,20,20,20,20,PBKS won by 5 runs
9th Match (N),Eden Gardens,06-April-2023,06-April-2023,KKR,RCB,204,7,123,10,205,20,17.4,20,20,KKR won by 81 runs
10th Match (N),Lucknow,07-April-2023,07-April-2023,SRH,LSG,121,8,127,5,122,20,16,20,20,LSG won by 5 wickets (with 24 balls remaining)
11th Match (D/N),Guwahati,08-April-2023,08-April-2023,RR,DC,199,4,142,9,200,20,20,20,20,RR won by 57 runs
12th Match (N),Wankhede,08-April-2023,08-April-2023,MI,CSK,157,8,159,3,158,20,18.1,20,20,CSK won by 7 wickets (with 11 balls remaining)
13th Match (D/N),Ahmedabad,09-April-2023,09-April-2023,GT,KKR,204,4,207,7,205,20,20,20,20,KKR won by 3 wickets (with 0 balls remaining)
14th Match (N),Hyderabad,09-April-2023,09-April-2023,PBKS,SRH,143,9,145,2,144,20,17.1,20,20,SRH won by 8 wickets (with 17 balls remaining)
15th Match (N),Bengaluru,10-April-2023,10-April-2023,RCB,LSG,212,2,213,9,213,20,20,20,20,LSG won by 1 wicket (with 0 balls remaining)
16th Match (N),Delhi,11-April-2023,11-April-2023,DC,MI,172,10,173,4,173,19.4,20,20,20,MI won by 6 wickets (with 0 balls remaining)
17th Match (N),Chennai,12-April-2023,12-April-2023,RR,CSK,175,8,172,6,176,20,20,20,20,RR won by 3 runs
18th Match (N),Mohali,13-April-2023,13-April-2023,PBKS,GT,153,8,154,4,154,20,19.5,20,20,GT won by 6 wickets (with 1 ball remaining)
19th Match (N),Eden Gardens,14-April-2023,14-April-2023,SRH,KKR,228,4,205,7,229,20,20,20,20,SRH won by 23 runs
20th Match (D/N),Bengaluru,15-April-2023,15-April-2023,RCB,DC,174,6,151,9,175,20,20,20,20,RCB won by 23 runs
21st Match (N),Lucknow,15-April-2023,15-April-2023,LSG,PBKS,159,8,161,8,160,20,19.3,20,20,PBKS won by 2 wickets (with 3 balls remaining)
22nd Match (D/N),Wankhede,16-April-2023,16-April-2023,KKR,MI,185,6,186,5,186,20,17.4,20,20,MI won by 5 wickets (with 14 balls remaining)
23rd Match (N),Ahmedabad,16-April-2023,16-April-2023,GT,RR,177,7,179,7,178,20,19.2,20,20,RR won by 3 wickets (with 4 balls remaining)
24th Match (N),Bengaluru,17-April-2023,17-April-2023,CSK,RCB,226,6,218,8,227,20,20,20,20,CSK won by 8 runs
25th Match (N),Hyderabad,18-April-2023,18-April-2023,MI,SRH,192,5,178,10,193,20,19.5,20,20,MI won by 14 runs
26th Match (N),Jaipur,19-April-2023,19-April-2023,LSG,RR,154,7,144,6,155,20,20,20,20,LSG won by 10 runs
27th Match (D/N),Mohali,20-April-2023,20-April-2023,RCB,PBKS,174,4,150,10,175,20,18.2,20,20,RCB won by 24 runs
28th Match (N),Delhi,20-April-2023,20-April-2023,KKR,DC,127,10,128,6,128,20,19.2,20,20,DC won by 4 wickets (with 4 balls remaining)
29th Match (N),Chennai,21-April-2023,21-April-2023,SRH,CSK,134,7,138,3,135,20,18.4,20,20,CSK won by 7 wickets (with 8 balls remaining)
30th Match (D/N),Lucknow,22-April-2023,22-April-2023,GT,LSG,135,6,128,7,136,20,20,20,20,GT won by 7 runs
31st Match (N),Wankhede,22-April-2023,22-April-2023,PBKS,MI,214,8,201,6,215,20,20,20,20,PBKS won by 13 runs
32nd Match (D/N),Bengaluru,23-April-2023,23-April-2023,RCB,RR,189,9,182,6,190,20,20,20,20,RCB won by 7 runs
33rd Match (N),Eden Gardens,23-April-2023,23-April-2023,CSK,KKR,235,4,186,8,236,20,20,20,20,CSK won by 49 runs
34th Match (N),Hyderabad,24-April-2023,24-April-2023,DC,SRH,144,9,137,6,145,20,20,20,20,DC won by 7 runs
35th Match (N),Ahmedabad,25-April-2023,25-April-2023,GT,MI,207,6,152,9,208,20,20,20,20,GT won by 55 runs
36th Match (N),Bengaluru,26-April-2023,26-April-2023,KKR,RCB,200,5,179,8,201,20,20,20,20,KKR won by 21 runs
37th Match (N),Jaipur,27-April-2023,27-April-2023,RR,CSK,202,5,170,6,203,20,20,20,20,RR won by 32 runs
38th Match (N),Mohali,28-April-2023,28-April-2023,LSG,PBKS,257,5,201,10,258,20,19.5,20,20,LSG won by 56 runs
39th Match (D/N),Eden Gardens,29-April-2023,29-April-2023,KKR,GT,179,7,180,3,180,20,17.5,20,20,GT won by 7 wickets (with 13 balls remaining)
40th Match (N),Delhi,29-April-2023,29-April-2023,SRH,DC,197,6,188,6,198,20,20,20,20,SRH won by 9 runs
41st Match (D/N),Chennai,30-April-2023,30-April-2023,CSK,PBKS,200,4,201,6,201,20,20,20,20,PBKS won by 4 wickets (with 0 balls remaining)
42nd Match (N),Wankhede,30-April-2023,30-April-2023,RR,MI,212,7,214,4,213,20,19.3,20,20,MI won by 6 wickets (with 3 balls remaining)
43rd Match (N),Lucknow,01-May-2023,01-May-2023,RCB,LSG,126,9,108,10,127,20,19.5,20,20,RCB won by 18 runs
44th Match (N),Ahmedabad,02-May-2023,02-May-2023,DC,GT,130,8,125,6,131,20,20,20,20,DC won by 5 runs
46th Match (N),Mohali,03-May-2023,03-May-2023,PBKS,MI,214,3,216,4,215,20,18.5,20,20,MI won by 6 wickets (with 7 balls remaining)
47th Match (N),Hyderabad,04-May-2023,04-May-2023,KKR,SRH,171,9,166,8,172,20,20,20,20,KKR won by 5 runs
48th Match (N),Jaipur,05-May-2023,05-May-2023,RR,GT,118,10,119,1,119,17.5,13.5,20,20,GT won by 9 wickets (with 37 balls remaining)
49th Match (D/N),Chennai,06-May-2023,06-May-2023,MI,CSK,139,8,140,4,140,20,17.4,20,20,CSK won by 6 wickets (with 14 balls remaining)
50th Match (N),Delhi,06-May-2023,06-May-2023,RCB,DC,181,4,187,3,182,20,16.4,20,20,DC won by 7 wickets (with 20 balls remaining)
51st Match (D/N),Ahmedabad,07-May-2023,07-May-2023,GT,LSG,227,2,171,7,228,20,20,20,20,GT won by 56 runs
52nd Match (N),Jaipur,07-May-2023,07-May-2023,RR,SRH,214,2,217,6,215,20,20,20,20,SRH won by 4 wickets (with 0 balls remaining)
53rd Match (N),Eden Gardens,08-May-2023,08-May-2023,PBKS,KKR,179,7,182,5,180,20,20,20,20,KKR won by 5 wickets (with 0 balls remaining)
54th Match (N),Wankhede,09-May-2023,09-May-2023,RCB,MI,199,6,200,4,200,20,16.3,20,20,MI won by 6 wickets (with 21 balls remaining)
55th Match (N),Chennai,10-May-2023,10-May-2023,CSK,DC,167,8,140,8,168,20,20,20,20,CSK won by 27 runs
56th Match (N),Eden Gardens,11-May-2023,11-May-2023,KKR,RR,149,8,151,1,150,20,13.1,20,20,RR won by 9 wickets (with 41 balls remaining)
57th Match (N),Wankhede,12-May-2023,12-May-2023,MI,GT,218,5,191,8,219,20,20,20,20,MI won by 27 runs
58th Match (D/N),Hyderabad,13-May-2023,13-May-2023,SRH,LSG,182,6,185,3,183,20,19.2,20,20,LSG won by 7 wickets (with 4 balls remaining)
59th Match (N),Delhi,13-May-2023,13-May-2023,PBKS,DC,167,7,136,8,168,20,20,20,20,PBKS won by 31 runs
60th Match (D/N),Jaipur,14-May-2023,14-May-2023,RCB,RR,171,5,59,10,172,20,10.3,20,20,RCB won by 112 runs
61st Match (N),Chennai,14-May-2023,14-May-2023,CSK,KKR,144,6,147,4,145,20,18.3,20,20,KKR won by 6 wickets (with 9 balls remaining)
62nd Match (N),Ahmedabad,15-May-2023,15-May-2023,GT,SRH,188,9,154,9,189,20,20,20,20,GT won by 34 runs
63rd Match (N),Lucknow,16-May-2023,16-May-2023,LSG,MI,177,3,172,5,178,20,20,20,20,LSG won by 5 runs
64th Match (N),Dharamsala,17-May-2023,17-May-2023,DC,PBKS,213,2,198,8,214,20,20,20,20,DC won by 15 runs
65th Match (N),Hyderabad,18-May-2023,18-May-2023,SRH,RCB,186,5,187,2,187,20,19.2,20,20,RCB won by 8 wickets (with 4 balls remaining)
66th Match (N),Dharamsala,19-May-2023,19-May-2023,PBKS,RR,187,5,189,6,188,20,19.4,20,20,RR won by 4 wickets (with 2 balls remaining)
67th Match (D/N),Delhi,20-May-2023,20-May-2023,CSK,DC,223,3,146,9,224,20,20,20,20,CSK won by 77 runs
68th Match (N),Eden Gardens,20-May-2023,20-May-2023,LSG,KKR,176,8,175,7,177,20,20,20,20,LSG won by 1 run
69th Match (D/N),Wankhede,21-May-2023,21-May-2023,SRH,MI,200,5,201,2,201,20,18,20,20,MI won by 8 wickets (with 12 balls remaining)
70th Match (N),Bengaluru,21-May-2023,21-May-2023,RCB,GT,197,5,198,4,198,20,19.1,20,20,GT won by 6 wickets (with 5 balls remaining)
Qualifier 1 (N),Chennai,23-May-2023,23-May-2023,CSK,GT,172,7,157,10,173,20,20,20,20,CSK won by 15 runs
Eliminator (N),Chennai,24-May-2023,24-May-2023,MI,LSG,182,8,101,10,183,20,16.3,20,20,MI won by 81 runs
Qualifier 2 (N),Ahmedabad,26-May-2023,26-May-2023,GT,MI,233,3,171,10,234,20,18.2,20,20,GT won by 62 runs
Final (N),Ahmedabad,28-May-2023,29-May-2023,GT,CSK,214,4,171,5,215,20,15,20,15,CSK won by 5 wickets (with 0 balls remaining) (DLS method)
